book,source,target,weight
2,Aphrodite,Thalia Grace,2
2,Aphrodite,Zeus,2
2,Apollo,Ares,16
2,Apollo,Athena,6
2,Apollo,Chiron,6
2,Apollo,Clarisse La Rue,20
2,Apollo,Demeter,2
2,Apollo,Dionysus,6
2,Apollo,Grover Underwood,4
2,Apollo,Hephaestus,10
2,Apollo,Hermes,40
2,Apollo,Luke Castellan,8
2,Apollo,Percy Jackson,134
2,Apollo,Poseidon,2
2,Apollo,Tantalus,12
2,Apollo,Thalia Grace,2
2,Apollo,Tyson,16
2,Ares,Athena,10
2,Ares,Blackbeard,2
2,Ares,Chiron,4
2,Ares,Circe,4
2,Ares,Clarisse La Rue,110
2,Ares,Dionysus,4
2,Ares,Grover Underwood,16
2,Ares,Hephaestus,10
2,Ares,Hermes,8
2,Ares,Luke Castellan,4
2,Ares,Oracle,12
2,Ares,Percy Jackson,276
2,Ares,Polyphemus,8
2,Ares,Poseidon,2
2,Ares,Tantalus,26
2,Ares,Tyson,14
2,Argus,Chiron,8
2,Argus,Clarisse La Rue,16
2,Argus,Grover Underwood,4
2,Argus,Luke Castellan,2
2,Argus,Percy Jackson,8
2,Argus,Tantalus,8
2,Argus,Thalia Grace,6
2,Artemis,Luke Castellan,6
2,Artemis,Oreius,10
2,Artemis,Percy Jackson,8
2,Athena,Chiron,8
2,Athena,Circe,8
2,Athena,Clarisse La Rue,8
2,Athena,Grover Underwood,4
2,Athena,Luke Castellan,8
2,Athena,Percy Jackson,156
2,Athena,Poseidon,6
2,Athena,Sally Jackson,4
2,Athena,Tantalus,6
2,Athena,Thalia Grace,2
2,Athena,Tyson,40
2,Athena,Zeus,2
2,Blackbeard,Circe,6
2,Blackbeard,Percy Jackson,40
2,Cerberus,Hephaestus,2
2,Cerberus,Hermes,6
2,Cerberus,Percy Jackson,10
2,Chiron,Clarisse La Rue,44
2,Chiron,Dionysus,56
2,Chiron,Grover Underwood,48
2,Chiron,Hermes,4
2,Chiron,Kronos,50
2,Chiron,Luke Castellan,90
2,Chiron,Oracle,4
2,Chiron,Percy Jackson,1142
2,Chiron,Polyphemus,2
2,Chiron,Poseidon,20
2,Chiron,Sally Jackson,10
2,Chiron,Tantalus,48
2,Chiron,Thalia Grace,46
2,Chiron,Tyson,98
2,Chiron,Zeus,16
2,Circe,Clarisse La Rue,2
2,Circe,Grover Underwood,8
2,Circe,Hermes,16
2,Circe,Percy Jackson,830
2,Circe,Polyphemus,4
2,Circe,Sally Jackson,8
2,Circe,Tyson,12
2,Clarisse La Rue,Dionysus,8
2,Clarisse La Rue,Grover Underwood,228
2,Clarisse La Rue,Hades,2
2,Clarisse La Rue,Hephaestus,10
2,Clarisse La Rue,Hermes,14
2,Clarisse La Rue,Kronos,6
2,Clarisse La Rue,Luke Castellan,32
2,Clarisse La Rue,Medusa,8
2,Clarisse La Rue,Oracle,32
2,Clarisse La Rue,Pan,4
2,Clarisse La Rue,Percy Jackson,1538
2,Clarisse La Rue,Polyphemus,132
2,Clarisse La Rue,Poseidon,8
2,Clarisse La Rue,Rainbow,14
2,Clarisse La Rue,Tantalus,74
2,Clarisse La Rue,Thalia Grace,26
2,Clarisse La Rue,Tyson,154
2,Clarisse La Rue,Zeus,12
2,Demeter,Dionysus,4
2,Demeter,Grover Underwood,2
2,Demeter,Percy Jackson,18
2,Dionysus,Grover Underwood,6
2,Dionysus,Hephaestus,2
2,Dionysus,Hermes,2
2,Dionysus,Kronos,10
2,Dionysus,Luke Castellan,10
2,Dionysus,Percy Jackson,256
2,Dionysus,Poseidon,8
2,Dionysus,Tantalus,96
2,Dionysus,Thalia Grace,6
2,Dionysus,Tyson,20
2,Dionysus,Zeus,8
2,Grover Underwood,Hades,2
2,Grover Underwood,Hermes,22
2,Grover Underwood,Kronos,10
2,Grover Underwood,Luke Castellan,86
2,Grover Underwood,Medusa,6
2,Grover Underwood,Oracle,10
2,Grover Underwood,Oreius,16
2,Grover Underwood,Pan,26
2,Grover Underwood,Percy Jackson,1754
2,Grover Underwood,Polyphemus,224
2,Grover Underwood,Poseidon,16
2,Grover Underwood,Sally Jackson,28
2,Grover Underwood,Tantalus,18
2,Grover Underwood,Thalia Grace,36
2,Grover Underwood,Tyson,158
2,Grover Underwood,Zeus,6
2,Hades,Kronos,2
2,Hades,Luke Castellan,4
2,Hades,Oreius,6
2,Hades,Percy Jackson,38
2,Hades,Poseidon,6
2,Hades,Thalia Grace,4
2,Hades,Zeus,6
2,Hephaestus,Hermes,8
2,Hephaestus,Luke Castellan,4
2,Hephaestus,Percy Jackson,136
2,Hephaestus,Tantalus,6
2,Hephaestus,Thalia Grace,2
2,Hephaestus,Tyson,24
2,Hephaestus,Zeus,2
2,Hermes,Luke Castellan,60
2,Hermes,Percy Jackson,770
2,Hermes,Poseidon,26
2,Hermes,Rainbow,2
2,Hermes,Tantalus,14
2,Hermes,Thalia Grace,8
2,Hermes,Tyson,52
2,Kronos,Luke Castellan,32
2,Kronos,Pan,2
2,Kronos,Percy Jackson,300
2,Kronos,Polyphemus,4
2,Kronos,Poseidon,4
2,Kronos,Tantalus,2
2,Kronos,Thalia Grace,8
2,Kronos,Tyson,12
2,Kronos,Zeus,4
2,Luke Castellan,Oracle,8
2,Luke Castellan,Oreius,80
2,Luke Castellan,Percy Jackson,1528
2,Luke Castellan,Poseidon,16
2,Luke Castellan,Sally Jackson,4
2,Luke Castellan,Tantalus,14
2,Luke Castellan,Thalia Grace,82
2,Luke Castellan,Tyson,188
2,Luke Castellan,Zeus,8
2,Medusa,Percy Jackson,36
2,Medusa,Poseidon,2
2,Medusa,Sally Jackson,4
2,Medusa,Zeus,2
2,Oracle,Percy Jackson,148
2,Oracle,Poseidon,2
2,Oracle,Tantalus,18
2,Oracle,Thalia Grace,2
2,Oracle,Tyson,8
2,Oreius,Percy Jackson,120
2,Oreius,Tyson,14
2,Pan,Percy Jackson,46
2,Pan,Polyphemus,8
2,Pan,Thalia Grace,2
2,Percy Jackson,Polyphemus,904
2,Percy Jackson,Poseidon,632
2,Percy Jackson,Rainbow,138
2,Percy Jackson,Sally Jackson,352
2,Percy Jackson,Tantalus,760
2,Percy Jackson,Thalia Grace,398
2,Percy Jackson,Tyson,4022
2,Percy Jackson,Zeus,164
2,Polyphemus,Poseidon,22
2,Polyphemus,Rainbow,8
2,Polyphemus,Tantalus,8
2,Polyphemus,Tyson,168
2,Poseidon,Rainbow,8
2,Poseidon,Sally Jackson,6
2,Poseidon,Tantalus,18
2,Poseidon,Thalia Grace,16
2,Poseidon,Tyson,148
2,Poseidon,Zeus,18
2,Rainbow,Tyson,86
2,Sally Jackson,Tyson,20
2,Sally Jackson,Zeus,4
2,Tantalus,Thalia Grace,8
2,Tantalus,Tyson,94
2,Thalia Grace,Tyson,18
2,Thalia Grace,Zeus,24
2,Tyson,Zeus,18
3,Annabeth Chase,Aphrodite,24
3,Annabeth Chase,Apollo,12
3,Annabeth Chase,Ares,20
3,Annabeth Chase,Argus,6
3,Annabeth Chase,Artemis,204
3,Annabeth Chase,Athena,54
3,Annabeth Chase,Atlas,26
3,Annabeth Chase,Bessie / Ophiotaurus,26
3,Annabeth Chase,Bianca di Angelo,88
3,Annabeth Chase,Blackjack,36
3,Annabeth Chase,Chiron,86
3,Annabeth Chase,Clarisse La Rue,2
3,Annabeth Chase,Demeter,2
3,Annabeth Chase,Dionysus,40
3,Annabeth Chase,Dr. Thorn,42
3,Annabeth Chase,Frederick Chase,98
3,Annabeth Chase,Grover Underwood,186
3,Annabeth Chase,Hades,32
3,Annabeth Chase,Hephaestus,4
3,Annabeth Chase,Hera,2
3,Annabeth Chase,Hermes,6
3,Annabeth Chase,Kronos,28
3,Annabeth Chase,Ladon,4
3,Annabeth Chase,Luke Castellan,236
3,Annabeth Chase,Medusa,2
3,Annabeth Chase,Nereus,10
3,Annabeth Chase,Nico di Angelo,116
3,Annabeth Chase,Oracle,6
3,Annabeth Chase,Pan,6
3,Annabeth Chase,Percy Jackson,2614
3,Annabeth Chase,Poseidon,36
3,Annabeth Chase,Rachel Elizabeth Dare,6
3,Annabeth Chase,Sally Jackson,60
3,Annabeth Chase,Thalia Grace,412
3,Annabeth Chase,Tyson,20
3,Annabeth Chase,Zeus,42
3,Annabeth Chase,Zoë Nightshade,164
3,Aphrodite,Apollo,8
3,Aphrodite,Ares,26
3,Aphrodite,Artemis,20
3,Aphrodite,Athena,4
